Question ID,Question Text,KC ID,KC Name,KC Description,Distractors,Student Errors (if any),Item Category,Item,Option A,Option B,Option C,Option D,Diagnosis A,Diagnosis B,Diagnosis C,Diagnosis D,Priority
,,,,,,,Tweaking the code,"The approach below builds two full lists in memory with two passes. Simplify to the direct single-pass counting strategy.

def compareProductRatings(n, ratings, standard):
    better = len([r for r in ratings if r > standard])
    worse = len([r for r in ratings if r < standard])
    if better > worse: return 'better'
    elif worse > better: return 'worse'
    else: return 'equal'",Replace both len([...]) lines with a single loop: better=0; worse=0; for rating in ratings: if rating>standard: better+=1 elif rating<standard: worse+=1 [correct],Replace len([...]) with count([...]),Add ratings = sorted(ratings) before the list comprehensions,None of the above,Demonstrates KC-10 mastery,Missing KC-10 — count() does not work this way in Python,Missing KC-10 — sort is unnecessary overhead,"Missing KC-10 — total loses directional info, cannot distinguish better from worse",
,,KC-11,Breaking down the question,"Decompose the problem into ordered sub-tasks: (1) initialize counters, (2) loop through ratings and count better/worse, (3) compare counters after the loop, (4) return the correct string. Steps must be performed in this order.","(a) Initialize counters after the loop — always reads 0
(b) Place the return/compare logic inside the loop — premature decision after first element
(c) Skip initialization, go straight to looping — NameError
(d) Correct order: initialize → loop+count → compare → return [correct]","Student puts the return/compare block inside the loop, returning after the first element
Student initializes counters after the loop, so they are always 0 at comparison time
Student skips the counter initialization step entirely",Fixing bug,"For ratings=[1, 3, 0, -1, 4, 3], standard=2, code returns ""worse"" based only on the first element (1 < 2). Select the fix.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
        if better > worse:
            return ""better""
        elif worse > better:
            return ""worse""
        else:
            return ""equal""",Move the if/elif/else return block outside (after) the for loop [correct],Add a break statement before each return,Change the for loop to iterate only range(1),None of the above,Demonstrates KC-11 mastery,"Missing KC-11 — break stops the loop but return is still inside, same premature result",Missing KC-11 — still returns after one element,Missing KC-11 — continue skips to next iteration but return is still reached,KC-11_Fill in the Blanks
,,,,,,,Fill in the blanks,"Select the correct order of sub-tasks for implementing this function.

___ A. Return 'better', 'worse', or 'equal' based on counter comparison
___ B. Initialize better=0 and worse=0
___ C. Compare better vs worse (after the loop)
___ D. Loop through each rating and increment the correct counter","A=1, B=2, C=3, D=4","B=1, D=2, C=3, A=4 [correct]","D=1, B=2, C=3, A=4",None of the above,Missing KC-11 — returns before any counting is done,Demonstrates KC-11 mastery,"Missing KC-11 — loops without initialized counters, causes NameError","Missing KC-11 — compares before counting, always compares 0 vs 0",
,,,,,,,Reading question,At which point in the algorithm should the better and worse counts be compared to decide the return value?,Before the loop starts,"Inside the loop, after each element is processed",After the loop has finished processing all elements [correct],None of the above,Missing KC-11 — counters are 0 before the loop,Missing KC-11 — premature comparison leads to result based on first element only,Demonstrates KC-11 mastery,Missing KC-11 — comparison position does not depend on n,
,,,,,,,Debugging the question,"For ratings=[3, 1, 2], standard=2, better and worse are both 0 at the comparison step despite elements being processed. What is wrong?

def compareProductRatings(n, ratings, standard):
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
    better = 0
    worse = 0
    if better > worse:
        return 'better'
    ...",The comparison operators are wrong,"better and worse are initialized to 0 after the loop, resetting accumulated counts — they must be initialized before the loop [correct]",The loop iterates the wrong number of times,None of the above,Missing KC-11 — misidentifies the issue,Demonstrates KC-11 mastery,Missing KC-11 — wrong layer,"Missing KC-11 — return statements exist, wrong diagnosis",
,,,,,,,Tweaking the code,"The counter comparison is placed inside the loop. Move it to the correct position without changing any other logic.

def compareProductRatings(n, ratings, standard):
    better = 0
    worse = 0
    for rating in ratings:
        if rating > standard:
            better += 1
        elif rating < standard:
            worse += 1
        if better > worse:       # <-- currently inside loop
            return ""better""
        elif worse > better:
            return ""worse""
        else:
            return ""equal""",Dedent the if/elif/else block by one level so it runs after the for loop completes [correct],Add a flag variable inside the loop and check it after,Change the for loop to a while loop with a break condition,None of the above,Demonstrates KC-11 mastery,Missing KC-11 — adds complexity; flag approach still defers to same logic,Missing KC-11 — while loop change does not fix placement issue,Missing KC-11 — swapping still leaves comparison inside the loop,
string_encryption_001,"### String Encryption Using String Operations
Complete the function `encryptString(str)`, which takes a lowercase string and returns its encrypted string.
The encryption process consists of two steps, applied in order:
- Reverse the given string
- Replace vowels in the reversed string using conditional logic:

| Vowel | Encrypted Value |
| ----- | --------------- |
| a     | 0               |
| e     | 1               |
| i     | 2               |
| o     | 2               |
| u     | 3               |

All non-vowel characters must remain unchanged.

#### Input Format
- The input is a single-line lowercase string

#### Output Format
- Return the encrypted string after applying reversal and vowel substitution

#### Constraints
- 1 <= length(str) <= 10^3
- The string contains only lowercase letters.

#### Example
###### Sample Input
apple

###### Sample Output
1lpp0

###### Explanation
The input string is processed as follows:
- Reverse ""apple"" to ""elppa""
- Replace vowels:
  - e -> 1
  - a -> 0
The function returns: 1lpp0",KC-01,String reversal,Reverse the input string as the first step before any vowel substitution. Use Python slice [::-1] or equivalent. Forgetting to reverse or reversing incorrectly produces wrong character order.,"(a) str[1:] — removes first char, not a reversal
(b) str[::-1] [correct]
(c) str[:-1] — removes last char
(d) str[::-2] — skips alternate characters","Student skips reversal and applies substitution to original string order
Student uses str[1:] or str[:-1] believing these reverse
Student uses off-by-one in a manual reverse loop",Fixing bug,"For str=""apple"", code returns ""0ppl1"" instead of ""1lpp0"". The string is not reversed before substitution. Select the fix.

def encryptString(str):
    result = """"
    for ch in str:
        if ch == 'a': result += '0'
        elif ch == 'e': result += '1'
        elif ch == 'i': result += '2'
        elif ch == 'o': result += '2'
        elif ch == 'u': result += '3'
        else: result += ch
    return result",Add str = str[::-1] before the loop [correct],Change for ch in str to for ch in str[1:],Change for ch in str to for ch in str[:-1],None of the above,Demonstrates KC-01 mastery,"Missing KC-01 — skips first character, not a reversal","Missing KC-01 — skips last character, not a reversal",Missing KC-01 — reduces string to one character,KC-1_Fixing bug
,,,,,,,Fill in the blanks,"Complete the line that reverses the string before the substitution loop.

def encryptString(str):
    reversed_str = ____
    result = """"
    for ch in reversed_str:
        ...
    return result",str[1:],str[::-1] [correct],str[:-1],None of the above,Missing KC-01 — drops first character,Demonstrates KC-01 mastery,Missing KC-01 — drops last character,Missing KC-01 — skips every other character,
,,,,,,,Reading question,"For str=""hello"", what is the correct reversed string before vowel substitution?","""hello""","""olleh"" [correct]","""olle""",None of the above,Missing KC-01 — string not reversed,Demonstrates KC-01 mastery,"Missing KC-01 — off-by-one, drops first character",Missing KC-01 — only first character moved,
,,,,,,,Debugging the question,"For str=""apple"", function returns ""0ppl1"" instead of ""1lpp0"". What is the root cause?

def encryptString(str):
    result = """"
    for ch in str:   # iterates original order
        if ch == 'a': result += '0'
        elif ch == 'e': result += '1'
        ...
        else: result += ch
    return result",The vowel mapping values are wrong,The string is not reversed before substitution — the loop iterates the original character order instead of its reverse [correct],result should be initialized to str instead of an empty string,None of the above,Missing KC-01 — misidentifies the issue,Demonstrates KC-01 mastery,Missing KC-01 — wrong layer,Missing KC-01 — irrelevant fix,
,,,,,,,Tweaking the code,"Simplify the manual reversal to a single clean Python expression.

reversed_str = """"
for i in range(len(str) - 1, -1, -1):
    reversed_str += str[i]",Replace with: reversed_str = str[::-1] [correct],Replace with: reversed_str = str[0:],Replace with: reversed_str = str[1:],None of the above,Demonstrates KC-01 mastery,"Missing KC-01 — str[0:] is identical to str, no reversal","Missing KC-01 — drops first character, not a reversal",Missing KC-01 — multiplying a string by -1 returns an empty string in Python,
,,KC-02,Complete vowel-to-digit mapping,"Know and apply the exact substitution for all five vowels: a->0, e->1, i->2, o->2, u->3. Using wrong digit values produces incorrect encrypted output.","(a) a->1, e->2, i->3, o->3, u->4 — sequential but wrong values
(b) a->0, e->1, i->2, o->2, u->3 [correct]
(c) a->0, e->1, i->2, o->3, u->4 — sequential after e
(d) a->0, e->1, i->3, o->2, u->4 — i and o swapped and u wrong","Student uses sequential values 0-4 giving u->4 instead of 3
Student confuses the digit for u (uses 4 instead of 3)
Student assigns unique sequential digits to i and o instead of the shared value 2",Fixing bug,"For str=""ue"" (reversed=""eu""), code returns ""14"" instead of ""13"". Select the minimal fix.

for ch in reversed_str:
    if ch == 'a': result += '0'
    elif ch == 'e': result += '1'
    elif ch == 'i': result += '2'
    elif ch == 'o': result += '2'
    elif ch == 'u': result += '4'   # wrong
    else: result += ch",Change '4' to '3' for u [correct],Change '4' to '2' for u,Change '4' to '1' for u,None of the above,Demonstrates KC-02 mastery,"Missing KC-02 — u should map to 3, not 2","Missing KC-02 — u should map to 3, not 1","Missing KC-02 — u should map to 3, not 0",
,,,,,,,Fill in the blanks,"Complete the mapping values for i, o, and u.

if ch == 'a': result += '0'
elif ch == 'e': result += '1'
elif ch == 'i': result += ____
elif ch == 'o': result += ____
elif ch == 'u': result += ____
else: result += ch","3', '4', '5'","2', '2', '3' [correct]","2', '3', '4'",None of the above,"Missing KC-02 — wrong values, using sequential digits from 3",Demonstrates KC-02 mastery,Missing KC-02 — o and u values are off by one,"Missing KC-02 — i value shifted, u wrong",KC-2_Fill in the blanks
,,,,,,,Reading question,"According to the encryption table, what digit does 'u' map to?",2,4,3 [correct],None of the above,Missing KC-02 — confuses u with i/o mapping,Missing KC-02 — uses sequential 0-4 mapping,Demonstrates KC-02 mastery,No understanding,
,,,,,,,Debugging the question,"For str=""au"" (reversed=""ua""), code returns ""32"" instead of ""30"". What is the root cause?

if ch == 'a': result += '2'   # wrong value for a
elif ch == 'u': result += '3'",The reversal step is wrong,a' is mapped to '2' but the table specifies a->0 [correct],The loop structure is wrong,None of the above,Missing KC-02 — misidentifies the issue,Demonstrates KC-02 mastery,Missing KC-02 — wrong layer,Missing KC-02 — u->3 is correct; a is the issue,
,,,,,,,Tweaking the code,"A student used wrong sequential values throughout. Fix all five mapping values to match the table.

if ch == 'a': result += '1'
elif ch == 'e': result += '2'
elif ch == 'i': result += '3'
elif ch == 'o': result += '4'
elif ch == 'u': result += '5'
else: result += ch","Change to: a->'0', e->'1', i->'2', o->'2', u->'3' [correct]","Change to: a->'0', e->'1', i->'2', o->'3', u->'4'","Change to: a->'1', e->'2', i->'3', o->'3', u->'4'",None of the above,Demonstrates KC-02 mastery,Missing KC-02 — o and u still wrong,"Missing KC-02 — a still wrong, o value still shared but wrong digit",Missing KC-02 — completely wrong mapping,
,,KC-03,i and o both map to 2 (non-unique mapping),Both 'i' and 'o' encrypt to the digit '2'. This non-unique mapping is a specific detail students commonly get wrong by assigning unique sequential values or swapping these two entries.,"(a) i->2, o->3 — gives o a unique sequential value
(b) i->2, o->2 [correct]
(c) i->3, o->2 — values swapped
(d) i->2, o->4 — o gets sequential value after u","Student uses i->2, o->3 following sequential progression
Student assumes each vowel must have a unique encrypted digit
Student swaps the digits for i and o",Fixing bug,"For str=""io"" (reversed=""oi""), code returns ""32"" instead of ""22"". Select the minimal fix.

elif ch == 'i': result += '2'
elif ch == 'o': result += '3'   # wrong",Change '3' to '2' for o [correct],Change '2' to '3' for i,Change '3' to '4' for o,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — makes i wrong without fixing o,"Missing KC-03 — o still wrong, just a different incorrect value",Missing KC-03 — makes i wrong without fixing o,
,,,,,,,Fill in the blanks,"Complete the mapping for i and o so both encrypt to the same digit per the table.

elif ch == 'i':
    result += ____
elif ch == 'o':
    result += ____",3' and '4',2' and '2' [correct],2' and '3',None of the above,Missing KC-03 — wrong values for both,Demonstrates KC-03 mastery,Missing KC-03 — o assigned unique value instead of sharing 2,Missing KC-03 — i value wrong,KC-3_Fill in the blanks
,,,,,,,Reading question,"For str=""oi"" (reversed=""io""), what should encryptString return?","""23""","""32""","""22"" [correct]",None of the above,Missing KC-03 — treats o as 2 and i as 3,Missing KC-03 — reversal correct but treats i as 3 and o as 2,Demonstrates KC-03 mastery,Missing KC-03 — wrong values for both,
,,,,,,,Debugging the question,"For str=""oil"" (reversed=""lio""), code returns ""l23"" instead of ""l22"". What is the root cause?

elif ch == 'i': result += '2'
elif ch == 'o': result += '3'",The reversal is wrong,"o' should map to '2', not '3' — both 'i' and 'o' share the digit 2 per the table [correct]",l' should be substituted with a digit,None of the above,Missing KC-03 — misidentifies the issue,Demonstrates KC-03 mastery,Missing KC-03 — consonants stay unchanged by design,Missing KC-03 — loop structure unrelated to this bug,
,,,,,,,Tweaking the code,"A student gave i and o different values. Fix only the affected line.

elif ch == 'i': result += '2'
elif ch == 'o': result += '3'   # should also be '2'",Change '3' in o's branch to '2' [correct],Change '2' in i's branch to '3',Remove the elif for o entirely,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — makes i wrong instead of fixing o,"Missing KC-03 — removes o mapping, o would fall through to else as a consonant","Missing KC-03 — still assigns different values, just swapped",
,,KC-04,Non-vowel character pass-through,"Characters that are not vowels (consonants) must be added to the result string exactly unchanged. They must not be dropped, removed, replaced with a placeholder, or transformed in any way.","(a) Missing else — consonants silently dropped from result
(b) else: pass — consonants skipped
(c) else: result += ch [correct]
(d) else: result += ch.upper() — consonants converted to uppercase","Student omits else clause so consonants are silently dropped
Student uses else: pass so consonants are explicitly skipped
Student replaces consonants with a placeholder like '*' or '#'",Fixing bug,"For str=""apple"" (reversed=""elppa""), code returns ""10"" instead of ""1lpp0"". Consonants are missing. Select the fix.

for ch in reversed_str:
    if ch == 'a': result += '0'
    elif ch == 'e': result += '1'
    elif ch == 'i': result += '2'
    elif ch == 'o': result += '2'
    elif ch == 'u': result += '3'
    # no else clause",Add else: result += ch [correct],Add else: result += '*',Add else: pass,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — replaces consonants with '*' instead of keeping them,Missing KC-04 — pass still drops consonants,"Missing KC-04 — consonants converted to uppercase, not unchanged",KC-4_Fixing bug
,,,,,,,Fill in the blanks,"Complete the else branch so consonants are preserved exactly as-is.

for ch in reversed_str:
    if ch in 'aeiou':
        result += vowel_map[ch]
    ____",else: pass,else: result += ch [correct],else: result += '',None of the above,Missing KC-04 — consonants dropped,Demonstrates KC-04 mastery,Missing KC-04 — appending empty string drops consonants,Missing KC-04 — continue skips adding the consonant,
,,,,,,,Reading question,"For str=""bc"" (reversed=""cb""), what should encryptString return?",""""" (empty string — non-vowels removed)","""**"" (non-vowels replaced with *)","""cb"" [correct] (non-vowels unchanged)",None of the above,Missing KC-04 — drops consonants,Missing KC-04 — replaces consonants,Demonstrates KC-04 mastery,Missing KC-04 — transforms consonants,
,,,,,,,Debugging the question,"For str=""apple"" (reversed=""elppa""), function returns ""10"" instead of ""1lpp0"". What is the root cause?

for ch in reversed_str:
    if ch == 'a': result += '0'
    elif ch == 'e': result += '1'
    elif ch == 'i': result += '2'
    elif ch == 'o': result += '2'
    elif ch == 'u': result += '3'",The vowel mapping values are wrong,"There is no else clause — consonants l, p, p are never added to result, so they are silently dropped [correct]",The reversal is incorrect,None of the above,Missing KC-04 — misidentifies the issue,Demonstrates KC-04 mastery,Missing KC-04 — wrong layer,Missing KC-04 — wrong layer,
,,,,,,,Tweaking the code,"A student replaced consonants with '#'. Fix so consonants are kept exactly unchanged.

for ch in reversed_str:
    if ch == 'a': result += '0'
    elif ch == 'e': result += '1'
    elif ch == 'i': result += '2'
    elif ch == 'o': result += '2'
    elif ch == 'u': result += '3'
    else: result += '#'   # wrong",Change else: result += '#' to else: result += ch [correct],Remove the else block entirely,Change else: result += '#' to else: pass,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — removing else still drops consonants,Missing KC-04 — pass still drops consonants,Missing KC-04 — replaces consonants with their ASCII codes,
,,KC-05,Character iteration and result building,Iterate character by character through the reversed string and build the result string incrementally by concatenation. Initialize result to an empty string before the loop. Iterating over the wrong string or forgetting initialization are common errors.,"(a) for ch in str — iterates original, not reversed
(b) Correct: result = ''; for ch in reversed_str: result += ...
(c) for i in range(len(reversed_str)-1) — off-by-one, skips last char
(d) result = str[::-1] only — doesn't apply substitution","Student forgets to initialize result = '' before the loop causing NameError
Student iterates over the original str instead of reversed_str
Student uses range(len-1) skipping the last character",Fixing bug,"Code raises NameError: name 'result' is not defined. Select the fix.

def encryptString(str):
    reversed_str = str[::-1]
    for ch in reversed_str:
        if ch == 'a': result += '0'
        elif ch == 'e': result += '1'
        elif ch == 'i': result += '2'
        elif ch == 'o': result += '2'
        elif ch == 'u': result += '3'
        else: result += ch
    return result","Add result = """" before the for loop [correct]",Add result = str[::-1] before the for loop,Add result = None before the for loop,None of the above,Demonstrates KC-05 mastery,Missing KC-05 — initializes result to reversed string; += on a string prefills it with wrong data,Missing KC-05 — None cannot be concatenated with +=,Missing KC-05 — integer cannot be concatenated with string +=,"KC-05 _Fixing Bug
"
,,,,,,,Fill in the blanks,"Complete the setup so the result is built by iterating the reversed string.

def encryptString(str):
    reversed_str = str[::-1]
    ____ = """"
    for ch in ____:
        if ch == 'a': result += '0'
        ...
        else: result += ch
    return result",str and str,result and reversed_str [correct],output and str,None of the above,"Missing KC-05 — iterates original string, wrong variable name",Demonstrates KC-05 mastery,Missing KC-05 — wrong variable name and iterates original string,Missing KC-05 — iterates original str instead of reversed_str,
,,,,,,,Reading question,"For str=""hello"" (reversed=""olleh""), how many characters should the final result string contain?",4 (only consonants),"5 [correct] (all characters, vowels substituted and consonants unchanged)",2 (only vowels substituted),None of the above,Missing KC-05 — counts only consonants,Demonstrates KC-05 mastery,Missing KC-05 — counts only vowels,Missing KC-05 — output length always equals input length,
,,,,,,,Debugging the question,"For str=""apple"", function returns ""0ppl1"" instead of ""1lpp0"". What is the root cause?

def encryptString(str):
    result = """"
    for ch in str:   # iterates original, not reversed
        ...",The vowel mapping values are wrong,The loop iterates over the original str instead of reversed_str — substitution is applied in the original character order [correct],result is initialized incorrectly,None of the above,Missing KC-05 — misidentifies the issue,Demonstrates KC-05 mastery,Missing KC-05 — wrong layer,"Missing KC-05 — return statement exists, wrong diagnosis",
,,,,,,,Tweaking the code,"Rewrite the index-based loop as a cleaner for-each that visits every character.

for i in range(len(reversed_str)):
    ch = reversed_str[i]
    if ch == 'a': result += '0'
    elif ch == 'e': result += '1'
    elif ch == 'i': result += '2'
    elif ch == 'o': result += '2'
    elif ch == 'u': result += '3'
    else: result += ch",Replace with: for ch in reversed_str: (then the same if/elif/else body) [correct],"Replace with: for i in range(1, len(reversed_str)): ch = reversed_str[i] ...",Replace with: for i in range(len(reversed_str)-1): ch = reversed_str[i] ...,None of the above,Demonstrates KC-05 mastery,Missing KC-05 — skips first character (index 0),"Missing KC-05 — off-by-one, skips last character",Missing KC-05 — skips first character,
,,KC-06,Type conversion — digit must be string in result,"The encrypted digit values (0, 1, 2, 3) must be added to the result as string characters ('0', '1', '2', '3'), not as integers. Concatenating an integer to a string raises TypeError.","(a) result += 0 — adds integer, raises TypeError
(b) result += '0' [correct]
(c) result += chr(0) — adds null byte, not the character '0'
(d) result += int('0') — adds integer, raises TypeError","Student assigns digit as integer: result += 0 causing TypeError
Student uses chr() thinking it converts a digit number to its character representation
Student forgets quotes around the digit literals",Fixing bug,"Code raises TypeError: can only concatenate str (not ""int"") to str. Select the fix.

for ch in reversed_str:
    if ch == 'a': result += 0
    elif ch == 'e': result += 1
    elif ch == 'i': result += 2
    elif ch == 'o': result += 2
    elif ch == 'u': result += 3
    else: result += ch","Wrap each digit in quotes or str(): result += '0', result += '1', etc. [correct]","Change result = """" to result = 0","Change result = """" to result = []",None of the above,Demonstrates KC-06 mastery,Missing KC-06 — makes result an integer; string concatenation still fails,"Missing KC-06 — list append uses a different syntax, not +=",Missing KC-06 — no output would be produced,KC-06 – Fixing Bug
,,,,,,,Fill in the blanks,"Complete the line so the digit for 'a' is added as a string character, not an integer.

if ch == 'a':
    result += ____",0,0' [correct],chr(0),None of the above,Missing KC-06 — integer literal causes TypeError,Demonstrates KC-06 mastery,"Missing KC-06 — chr(0) is the null byte character, not the string '0'","Missing KC-06 — int('0') evaluates to 0, still an integer",
,,,,,,,Reading question,Which of the following correctly appends the digit 2 to a string variable result?,result += 2,result += '2' [correct],result += chr(2),None of the above,Missing KC-06 — integer causes TypeError,Demonstrates KC-06 mastery,"Missing KC-06 — chr(2) is a control character, not the character '2'","Missing KC-06 — int(2) is still an integer, causes TypeError",
,,,,,,,Debugging the question,"For str=""a"" (reversed=""a""), code raises TypeError: can only concatenate str (not ""int"") to str. What is the root cause?

result = """"
for ch in reversed_str:
    if ch == 'a': result += 0",a' is not in the vowel mapping,result += 0 attempts to concatenate the integer 0 to a string — use result += '0' (string literal) instead [correct],result is not initialized correctly,None of the above,Missing KC-06 — misidentifies the issue,Demonstrates KC-06 mastery,Missing KC-06 — initialization is correct,Missing KC-06 — loop structure is fine,
,,,,,,,Tweaking the code,"A student stored mappings as integers in a dict. Fix the concatenation so no TypeError occurs.

mapping = {'a': 0, 'e': 1, 'i': 2, 'o': 2, 'u': 3}
for ch in reversed_str:
    if ch in mapping:
        result += mapping[ch]   # TypeError
    else:
        result += ch",Change result += mapping[ch] to result += str(mapping[ch]) [correct],Change result += mapping[ch] to result += int(mapping[ch]),"Change result = """" to result = 0",None of the above,Demonstrates KC-06 mastery,"Missing KC-06 — int() on an int is a no-op, TypeError remains",Missing KC-06 — makes result an int; += on int and str still fails,Missing KC-06 — boolean is a subtype of int; TypeError still occurs,
,,KC-07,Return string result (return vs print),The function must return the encrypted string to the caller. Using print() causes the function to return None to the grader; the encrypted string is displayed on screen but never passed back.,"(a) print(result) — displays but returns None
(b) return result [correct]
(c) return print(result) — evaluates print (displays), then returns None
(d) yield result — returns a generator, not a string","Student uses print(result) instead of return result causing None to be returned
Student returns an intermediate variable instead of result
Student uses return print(result) believing print returns the value",Fixing bug,"This function fails all grader tests. Select the minimal fix.

def encryptString(str):
    reversed_str = str[::-1]
    result = """"
    for ch in reversed_str:
        if ch == 'a': result += '0'
        elif ch == 'e': result += '1'
        elif ch == 'i': result += '2'
        elif ch == 'o': result += '2'
        elif ch == 'u': result += '3'
        else: result += ch
    print(result)",Change print(result) to return result [correct],Add return None after print(result),Change print(result) to return print(result),None of the above,Demonstrates KC-07 mastery,Missing KC-07 — still returns None,Missing KC-07 — return print() evaluates print then returns None,Missing KC-07 — flushing does not affect the return value,"KC-07_Debugging
"
,,,,,,,Fill in the blanks,"Complete the final line so the grader receives the encrypted string.

def encryptString(str):
    reversed_str = str[::-1]
    result = """"
    for ch in reversed_str:
        ...
    ____ result",print,return [correct],yield,None of the above,Missing KC-07 — prints to screen but returns None,Demonstrates KC-07 mastery,"Missing KC-07 — returns a generator object, not a string",No understanding — not a valid Python keyword,
,,,,,,,Reading question,What value does the grader receive if the function ends with print(result) and no return statement?,The encrypted string,An empty string,None [correct],None of the above,Missing KC-07 — confuses print output with return value,Missing KC-07 — no basis for empty string,Demonstrates KC-07 mastery,No understanding,
,,,,,,,Debugging the question,"Function prints the correct encrypted string on screen but fails all grader tests. Why?

def encryptString(str):
    ...
    print(result)",The vowel mapping is wrong,"print() displays output but does not return a value — the grader reads the return value, which is None [correct]",Should use sys.stdout.write instead,None of the above,Missing KC-07 — misidentifies the issue,Demonstrates KC-07 mastery,No understanding,No understanding,
,,,,,,,Tweaking the code,"Modify the function so the grader receives the encrypted string as the return value.

def encryptString(str):
    reversed_str = str[::-1]
    result = """"
    for ch in reversed_str:
        ...
    print(result)",Replace print(result) with return result [correct],Add return None after print(result),Change print(result) to return print(result),None of the above,Demonstrates KC-07 mastery,Missing KC-07 — still returns None,Missing KC-07 — return print() still returns None,No understanding — lambda does not affect return value,
,,KC-08,No input reading inside function,The function receives the string as the parameter str. Do not call input() or read from stdin inside the function — use only the parameter passed by the caller.,"(a) Calls str = input() inside function — overwrites parameter, reads from stdin
(b) Uses the str parameter directly [correct]
(c) Uses input().strip() to re-read and clean the string
(d) Hardcodes str = 'apple' — wrong for other inputs","Student calls str = input() inside function, overwriting the parameter
Student calls input() thinking it is needed even though str is already passed
Student hardcodes the input string instead of using the parameter",Fixing bug,"This function hangs when called as encryptString('apple'). Select the fix.

def encryptString(str):
    str = input()   # reads from stdin, ignores the parameter
    reversed_str = str[::-1]
    result = """"
    for ch in reversed_str:
        ...
    return result",Remove the str = input() line and use the parameter directly [correct],Change input() to input('Enter string: '),Move str = input() before the function definition,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — still reads from stdin inside the function,Missing KC-08 — moves the problem but does not fix the function contract,Missing KC-08 — hides the error but does not fix the logic,"KC-08 – Fixing Bug
"
,,,,,,,Fill in the blanks,"Complete the function header so the string is received as a parameter and not read inside.

def encryptString(____):
    reversed_str = str[::-1]
    result = """"
    for ch in reversed_str:
        ...
    return result",str = input(),str [correct],input(),None of the above,Missing KC-08 — calls input() in the default value,Demonstrates KC-08 mastery,No understanding — input() is not a valid parameter name,Missing KC-08 — no parameter means str is undefined inside the function,
,,,,,,,Reading question,Where should the string value come from when executing inside encryptString?,Read from stdin using input(),Read from a file using open(),From the function's str parameter as passed by the caller [correct],None of the above,Missing KC-08 — incorrect source,Missing KC-08 — incorrect source,Demonstrates KC-08 mastery,Missing KC-08 — global state is fragile and violates function contract,
,,,,,,,Debugging the question,"When called as encryptString('apple'), the function hangs waiting for keyboard input. What is the root cause?

def encryptString(str):
    str = input()",The reversal slice is wrong,"input() inside the function waits for stdin, but the caller already passed the value as the str argument — input() is unnecessary [correct]",The function has too many parameters,None of the above,Missing KC-08 — misidentifies the issue,Demonstrates KC-08 mastery,No understanding,Missing KC-08 — str is a built-in but still valid as a parameter name,
,,,,,,,Tweaking the code,"Remove the input() call so the function uses only its parameter.

def encryptString(str):
    str = input().strip()
    reversed_str = str[::-1]
    result = """"
    for ch in reversed_str:
        ...
    return result",Delete the str = input().strip() line [correct],Change input().strip() to input(),Move str = input().strip() after the for loop,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — still reads from stdin inside function,"Missing KC-08 — still reads from stdin, just at a different point",Missing KC-08 — still reads from stdin via a different method,
subscription_cost_calculation_001,"### Subscription Cost Calculation with Default Parameters
A subscription platform calculates the final subscription cost by adding a percentage-based platform fee to the base subscription amount.
- If the platform fee percentage is provided, that value must be applied.
- If the platform fee percentage is missing, a default fee of 5% must be used.

Complete the function `calculatePrice(price, tax=5)`, which returns the final subscription cost after applying the applicable fee.

#### Input Format
- First line: An integer representing the base subscription price.
- Second line (optional): An integer representing the platform fee percentage.
- If the second line is missing, the tax must default to 5%.

#### Output Format
- Return the final subscription cost.

#### Constraints
- 1 <= price <= 10^6
- 0 <= tax <= 100

#### Example
###### Sample Input
100

###### Sample Output
105

###### Explanation
- Base price = 100
- No tax is provided, so the default 5% is applied
- Final price = 100 + (100 x 5 / 100) = 105",KC-01,Default parameter syntax and behavior,"In Python, `def calculatePrice(price, tax=5)` sets 5 as the default for tax in the signature. When called without tax, Python supplies 5 automatically. Placing `tax=5` inside the body overwrites any caller-provided value.","(a) def calculatePrice(price, tax): tax=5 inside body — overwrites caller's value
(b) def calculatePrice(price, tax=5) [correct]
(c) def calculatePrice(price, tax=None): if not tax: tax=5 — fails when tax=0 is intentionally passed
(d) def calculatePrice(price): no tax parameter at all","Student places tax=5 inside the function body, overwriting any caller-provided value
Student omits the default entirely, requiring tax always
Student uses if tax is None: tax=5 but receives int not None when called with one argument",Fixing bug,"calculatePrice(100, 10) returns 105 instead of 110. The function always uses 5% regardless of what is passed. Select the fix.

def calculatePrice(price, tax):
    tax = 5
    return price + (price * tax / 100)","Move tax=5 to the function signature as: def calculatePrice(price, tax=5) and remove tax=5 from the body [correct]",Change tax=5 to tax=10 inside the body,Add if tax == 0: tax=5 inside the body,None of the above,Demonstrates KC-01 mastery,"Missing KC-01 — hardcodes a specific value, still ignores caller",Missing KC-01 — manual guard still overrides caller's intentional 0% tax,Missing KC-01 — removes the ability to pass tax entirely,KC-01_Fixing bug
